mots	semgram	lemfreq	surfreq	répartition
perle		1		
perpendiculairement		1		
perpétuation		1		
persécuter		1		
persécution		1		
persienne		1		
persil		1		
persister		1		
péter		1		
petits-enfants		1		
petit-neveu		1		
pétouillard		1		
pétrolette		1		
peuchère		1		
phénix		1		
philanthrope		1		
philanthropique		1		
philologique		1		
philosophie		1		
phono		1		
phonographique		1		
phrygien		1		
physiquement		1		
piaule		1		
pichet		1		
pick-up		1		
pierrot		1		
piétiner		1		
piéton		1		
piètre		1		
pigment		1		
pigeon		1		
pilier		1		
pilote		1		
pilotis		1		
piment		1		
pinceaux	(argot: pied	1		
ping-pong		1		
pipelette		1		
piper	(argot)	1		
pipi		1		
piquant	(nom.)	1		
pique-nique		1		
piquet		1		
pirate		1		
piraterie		1		
pirouette		1		
pivot		1		
plain-pied		1		
plaintif		1		
plaisanterie		1		
plant		1		
plantureuse		1		
plantureux		1	0	
plaquette		1		
platane		1		
plat-vendre		1		
pliant		1		
plinthe		1		
plomber		1		
plombier		1		
pochette		1		
poigne		1		
poignet		1		
pointer		1		
poire		1		
poisse		1		
poitrinaire		1		
poitrine		1		
poivre		1		
polémique		1		
policé		1		
polir		1		
polonais		1		
poltron		1		
polytechnicien		1		
pompeux		1		
pompier		1		
ponction		1		
ponctuation		1		
ponctuel		1		
ponctuer		1		
pontife		1		
ponte		1		
populeux		1		
populo		1		
porphyre		1		
portable		1		
portant	(bien)	1		
à bout portant		1		
porte-avion		1		
portemanteaux		1		
porte-bagages		1		
porte-monnaie		1		
portraitiste		1		
posé	(adj.:sérieux)	1		
possession		1		
poster		1		
postérité		1		
postier		1		
postillon		1		
potage		1		
potager		1		
pot-au-feu		1		
potasse		1		
potasser		1		
pote	(fam.:copain)	1		
potée		1		
potelé		1		
potentiomètre		1		
potins		1		
potion		1		
poubelle		1		
pouilleux		1		
poularde		1		
pouponnière		1		
pourvoir		1		
poussée		1		
poussette		1		
poussiéreux		1		
poutre		1		
pouvoir d'achat		1		
préalable	(au)	1		
prêcher		1		
précieusement		1		
précipice		1		
prédécesseur		1		
prédilection		1		
prédominer		1		
préjudice		1		
présent	(nom.)	1		
presqu'île		1		
présider		1		
pressant		1		
présumé		1		
primitivement		1		
prince		1		
priser		1		
privilégié		1		
procession		1		
prodigieuse		1		
prodigieux		1	0	
producteur		1		
profil		1		
profitable		1		
profiteur		1		
progressivement		1		
prolonger		1		
prometteur		1		
promotion		1		
prône		1		
pronostiqueur		1		
prostrer		1		
protection		1		
protectorat		1		
protestant		1		
protester		1		
prothèse		1		
prouesse		1		
provenance		1		
provençal	(langue)	1		
providentiel		1		
proviseur		1		
psychologiquement		1		
psychotechnique		1		
puce		1		
pudding		1		
puiser		1		
pulluler		1		
punaise	(interj.)	1		
pupitre		1		
pureté		1		
purification		1		
purulent"		1		
purulent		1	0	
quadriller		1		
quadruplé		1		
qualifié		1		
quant à soi		1		
quartier-maître		1		
quérirqueu		1		
queue d'ale		1		
queue-leu-leu		1		
quincaillerie		1		
quinzième		1		
qui que c'est que		1		
rabâcher		1		
rabatteur		1		
rabiot		1		
rabot		1		
raboter		1		
rabouter	(remettre bout à bout	1		
raccommoder	(pronom.)	1		
raccompagner		1		
raccorder		1		
raccourci	(nom.)	1		
race		1		
racoler		1		
radiation		1		
radiophonique		1		
rafale		1		
raffût		1		
rafistoler		1		
rager		1		
raid		1		
raide		1		
raisiné		1		
rajeunir		1		
rajouter		1		
rallonger		1		
ramper		1		
randonnée		1		
raréfier	(pronom.)	1		
rapporteur		1		
rareté		1		
rasseoir		1		
rat		1		
ratatouille	(correction	1		
rationnel		1		
rationnellement		1		
rationner		1		
rattrapage		1		
rauque		1		
ravage		1		
rave		1		
ravin		1		
rayure		1		
réalisateur		1		
réapprouver		1		
rebarbouillar		1		
rebeller	(pronom.)	1		
rebord		1		
recalcifiante		1		
recalcifiant		1	0	
récapituler		1		
receveur		1		
rechange		1		
rechanger		1		
rechanter		1		
réchapper		1		
récitant		1		
réclamation		1		
recoin		1		
réconfortant		1		
reconnaissable		1		
reconnaissant		1		
reconstituer		1		
recopier		1		
recréer		1		
recruter		1		
rectangulaire		1		
recteur		1		
rectification		1		
récupérable		1		
rédacteur		1		
rédaction		1		
redémarrer		1		
redevance		1		
redire		1		
redondance		1		
redoutable		1		
rééditer		1		
référence		1		
réformer		1		
reflet		1		
réforme		1		
refoulement		1		
refoutre		1		
refroidir		1		
refuge		1		
regagner		1		
régionaliste		1		
régir		1		
réglage		1		
réglementer		1		
réglo		1		
régner		1		
regrettable		1		
regrouper		1		
réincarnation		1		
réjouir		1		
réjouissant		1		
reluquer		1		
relative		1		
relevé		1		
remanier		1		
remariage		1		
remblai		1		
remblayer		1		
remontée		1		
remorquer		1		
remorqueur		1		
rémouleur		1		
rempailleur		1		
remue-ménage		1		
rémunérateur		1		
renaissance		1		
rendu		1		
renfermé	(nom.)	1		
renfermer		1		
renfrogner		1		
renommée		1		
renouveau		1		
rentier		1		
renversement		1		
repartir		1		
repassage		1		
repeinturlurer		1		
répercuter	(pronom.)	1		
répétitrice		1		
repiquer		1		
repli		1		
replier	(pronom.)	1		
reporter		1		
reposant		1		
reposoir		1		
représailles		1		
répression		1		
repriser		1		
reproduction		1		
reproduire		1		
républicaine		1		
réputé		1		
réquisitionner		1		
résidu		1		
résine		1		
résonner		1		
résoudre		1		
respectabilité		1		
respectif		1		
respiration		1		
ressemblance		1		
restreint		1		
ressaisir		1		
ressuyer		1		
restaurer	(pronom.)	1		
restreindre		1		
rétablir		1		
retardataire		1		
retomber		1		
retournement		1		
retracer		1		
retrancher		1		
retranscrire		1		
rétribuer		1		
rétroviseur		1		
révélateur		1		
révélation		1		
revenant		1		
revendiquer		1		
rêverie		1		
réversibilité		1		
revêtir		1		
révision		1		
révolte		1		
révolutionner		1		
revoyure		1		
rhabilleur		1		
rhinite		1		
ride		1		
rigide		1		
rigole		1		
rillettes		1		
rime		1		
rimer		1		
risette		1		
rite		1		
rive		1		
rivière		1		
riz		1		
robuste		1		
rocailleuse		1		
rocailleux		1	0	
rond de cuir		1		
rondelette		1		
rondelet		1	0	
ronger		1		
roquet		1		
rosière		1		
roucoulade		1		
rotation		1		
rougir		1		
rouiller		1		
roulette		1		
roussir		1		
routinier		1		
rucher		1		
rugissement		1		
rupiner		1		
rustique		1		
rythmique		1		
sabler	(jeter du sable	1		
sagement		1		
salamalec		1		
salement		1		
saler		1		
salissant		1		
sanatorium		1		
saouler		1		
saquer		1		
sarcastique		1		
sarcelle		1		
sarcler		1		
sardine		1		
satiriste		1		
satisfaisant		1		
satyre		1		
saucer		1		
sauf	(adj.)	1		
saute-mouton		1		
sauvetage		1		
savamment		1		
saveur		1		
savoir	(nom.)	1		
savoureux		1		
scabreux		1		
scandaleux		1		
scandinave		1		
scénique		1		
schématiser		1		
schnaps		1		
sciatique		1		
scierie		1		
scission		1		
scolairement		1		
scolarité		1		
scrupule		1		
scrupuleusement		1		
sculpteur		1		
sculpter		1		
sculpture		1		
secondaire		1		
secundo		1		
séduction		1		
séduire		1		
segment		1		
séjourner		1		
select		1		
sélection		1		
sélectionner		1		
semence		1		
séminaire		1		
sensation		1		
sensiblement		1		
sensuel		1		
sentencieux		1		
séquence		1		
séquestration		1		
sermon		1		
serpent		1		
serrure		1		
serveur		1		
serviteur		1		
servo-moteur		1		
shaker		1		
shooter		1		
short		1		
side-car		1		
signalisation		1		
signification		1		
silhouette		1		
simpliste		1		
singe		1		
sinistre	(nom.)	1		
sinus	(anatom.)	1		
sitôt		1		
slave		1		
snack-bar		1		
soc		1		
sociable		1		
sociétaire		1		
soda		1		
solfège		1		
solvable		1		
sombre		1		
somme	(masc.)	1		
somnoler		1		
somptueuse		1		
somptueux		1	0	
sonde		1		
sonder		1		
sonnet		1		
sonnette		1		
sonneur		1		
soporifique		1		
soprano		1		
sorcellerie		1		
sornette	(s)	1		
souche		1		
soucier	(pronom.)	1		
soufflé		1		
soufflure		1		
souffrant		1		
souffre-douleur		1		
soufre		1		
soufré		1		
souhait		1		
soûl		1		
souligner		1		
soûlographie		1		
soumettre		1		
soupente		1		
sourd		1		
sourdine	(en)	1		
souriant		1		
soutien		1		
spaghetti		1		
spécialisation		1		
spécifier		1		
spécimen		1		
spéculer		1		
spirale		1		
splendeur		1		
squelette		1		
stabiliser		1		
stabilité		1		
stagiaire		1		
stand		1		
standing		1		
stannifère		1		
statique		1		
sténographie		1		
stèle		1		
stériliser		1		
stopper		1		
strict		1		
stupéfaction		1		
stupéfait		1		
stupeur		1		
stylistique		1		
stylo		1		
su	(nom.)	1		
subit		1		
subit	subit	1	0	
subit	subite	1		
subitement		1		
subjonctif		1		
submerger		1		
subordonner		1		
subside		1		
subsidiaire		1		
subsister		1		
substance		1		
substantif		1		
subtilité		1		
substitution		1		
subvenir		1		
suc		1		
succursale		1		
sucrer	(pronom.)(s'enrichir)	1		
suffoquer		1		
suggérer		1		
suggestion		1		
sulfate		1		
suppléante		1		
suppléant		1	0	
supplice		1		
suppositoire		1		
supputer		1		
suranné		1		
surchauffer		1		
surélever		1		
surmenage		1		
surmener		1		
surnager		1		
surnommer		1		
surprenant		1		
sursaut		1		
survivant		1		
susciter		1		
suspension		1		
sustenter	(pronom.)	1		
symbolique		1		
symétrique		1		
syndical		1		
syndiqué		1		
synonyme		1		
synoptique		1		
synovie		1		
syntaxe		1		
synthétique		1		
tact		1		
taie	(d'oreiller)	1		
taillis		1		
tambouille		1		
tampon		1		
tango		1		
tank		1		
tapir	(pronom.)	1		
tapoter		1		
taquiner		1		
tarabiscoter		1		
tarder		1		
tardif		1		
tarte		1		
tassé	(fig.)	1		
tasser		1		
tatane		1		
tatillage		1		
tégument		1		
teinte		1		
teinturerie		1		
télégraphier		1		
télégraphique		1		
télescoper		1		
téméraire		1		
témérité		1		
tenace		1		
ténacité tenant		1		
tenture		1		
térébinthe		1		
ternir	(pronom.)	1		
terrestre		1		
terreur		1		
terrier		1		
territorial		1		
textuellement		1		
théorème		1		
théoricien		1		
théoriquement		1		
thoracique		1		
thym		1		
thyroïde		1		
tiède		1		
tigresse		1		
timbale		1		
timbrée	(voix)	1		
tirade		1		
tirette		1		
toilettes		1		
tolérer		1		
tombe		1		
tombée		1		
tome	(fém. fromage)	1		
tondre		1		
tonner		1		
torcher		1		
tordre		1		
tordu		1		
torride		1		
torse		1		
tortionnaire		1		
tortue		1		
torturer		1		
touchant		1		
touring-club		1		
tournant	(nom.)	1		
tonton		1		
trace		1		
trachée		1		
traditionnel		1		
trahison		1		
traîne		1		
trancher		1		
transatlantique		1		
transcription		1		
transition		1		
transmission		1		
transplanter		1		
travelling		1		
traverse		1		
traversée		1		
traversine		1		
treillis		1		
trempette		1		
trépidation		1		
tresse		1		
triage		1		
tribal		1		
tribune		1		
tricher		1		
trieuse		1		
trimer		1		
trio		1		
triomphal		1		
tripler		1		
trisser		1		
tristement		1		
trompeuse		1		
trot		1		
trotter		1		
trouille		1		
trouvaille		1		
truquage		1		
turbiner		1		
tsar		1		
tuerie		1		
tunique		1		
turban		1		
turfiste		1		
tune		1		
tutélaire		1		
tutelle		1		
tuteur		1		
tutoyer		1		
tympan		1		
typhon		1		
typique		1		
tyran		1		
uhlan		1		
ukrainien		1		
ulcère		1		
ultérieurement		1		
unanimité		1		
unilatéral		1		
union		1		
unisson		1		
unité		1		
universel		1		
urbanisme		1		
urgence		1		
urée		1		
uriner		1		
urique		1		
usé		1		
useur		1		
usinier		1		
ustensile		1		
usure		1		
utilement		1		
vaccin		1		
vacher		1		
vacherie		1		
vadrouille		1		
vadrouiller		1		
vague	(nom.)	1		
vaillamment		1		
vaincre		1		
vainement		1		
valdinguer		1		
vallon		1		
vanille		1		
vareuse		1		
variante		1		
variation		1		
varlope		1		
vautrer	(pronom.)	1		
végéter		1		
véhémence		1		
velouté		1		
vendéen		1		
ventiler		1		
venue		1		
véranda		1		
verdure		1		
verger		1		
véridique		1		
vers	(nom.)	1		
vert-pistache		1		
vertèbre		1		
vertical		1		
vertueux		1		
verve		1		
vestibule		1		
vêtir		1		
vétusté		1		
vicaire		1		
vice-versa		1		
victoire		1		
victoria		1		
vieillard		1		
vieillesse		1		
viennoise		1		
viol		1		
violence		1		
violente		1		
violer		1		
virée		1		
virgule		1		
virtuel		1		
visibilité		1		
visible		1		
vison		1		
vitrage		1		
vitré		1		
vitreux		1		
vocalise		1		
voiler		1		
voirie		1		
voisiner		1		
volage		1		
volaille		1		
volontaire	(nom.)	1		
volontairement		1		
volt		1		
vosgien		1		
voyant	(mécanique)	1		
voyeur		1		
zeste		1		
zigoto		1		
zinc		1		
zoologique		1		
zozotter		1		
